V,C
10.8,4.72536E-011
10.9,4.72544E-011
11,4.72548E-011
11.1,4.7256E-011
11.2,4.72558E-011
11.3,4.72566E-011
11.4,4.7257E-011
11.5,4.72574E-011
11.6,4.72577E-011
11.7,4.72584E-011
11.8,4.72594E-011
11.9,4.72598E-011
12,4.72607E-011
12.1,4.72608E-011
12.2,4.72611E-011
12.3,4.72619E-011
12.4,4.72622E-011
12.5,4.72629E-011
12.6,4.72632E-011
12.7,4.72629E-011
12.8,4.72639E-011
12.9,4.72642E-011
13,4.72647E-011
13.1,4.72654E-011
13.2,4.72662E-011
13.3,4.72661E-011
13.4,4.72666E-011
13.5,4.72666E-011
13.6,4.72677E-011
13.7,4.72676E-011
13.8,4.72676E-011
13.9,4.72688E-011
14,4.72691E-011
14.1,4.72689E-011
14.2,4.72697E-011
14.3,4.72698E-011
14.4,4.72706E-011
14.5,4.72707E-011
14.6,4.72703E-011
14.7,4.72709E-011
14.8,4.72707E-011
14.9,4.72717E-011
15,4.72719E-011
15.1,4.72719E-011
15.2,4.72724E-011
15.3,4.72729E-011
15.4,4.72728E-011
15.5,4.72732E-011
15.6,4.72742E-011
15.7,4.72745E-011
15.8,4.7273E-011
15.9,4.72741E-011
16,4.72747E-011
16.1,4.72754E-011
16.2,4.72749E-011
16.3,4.72745E-011
16.4,4.72752E-011
16.5,4.72759E-011
16.6,4.72758E-011
16.7,4.72759E-011
16.8,4.72765E-011
16.9,4.7277E-011
17,4.7277E-011
17.1,4.7277E-011
17.2,4.72778E-011
17.3,4.72777E-011
17.4,4.72775E-011
17.5,4.72785E-011
17.6,4.72781E-011
17.7,4.72788E-011
17.8,4.7279E-011
17.9,4.72789E-011
18,4.72791E-011
18.1,4.72796E-011
18.2,4.72798E-011
18.3,4.72799E-011
18.4,4.72797E-011
18.5,4.72795E-011
18.6,4.72797E-011
18.7,4.72804E-011
18.8,4.72802E-011
18.9,4.72804E-011
19,4.72804E-011
19.1,4.72807E-011
19.2,4.72811E-011
19.3,4.7281E-011
19.4,4.7281E-011
19.5,4.72814E-011
19.6,4.72822E-011
19.7,4.7282E-011
19.8,4.72818E-011
19.9,4.72824E-011
20,4.72825E-011
20.1,4.72821E-011
20.2,4.72824E-011
20.3,4.72825E-011
20.4,4.72827E-011
20.5,4.72824E-011
20.6,4.72829E-011
20.7,4.72832E-011
20.8,4.72831E-011
20.9,4.72828E-011
21,4.72833E-011
21.1,4.72837E-011
21.2,4.72836E-011
21.3,4.7284E-011
21.4,4.7284E-011
21.5,4.7284E-011
21.6,4.7284E-011
21.7,4.72846E-011
21.8,4.72851E-011
21.9,4.72842E-011
22,4.72843E-011
22.1,4.7285E-011
22.2,4.72848E-011
22.3,4.7285E-011
22.4,4.72851E-011
22.5,4.72855E-011
22.6,4.72852E-011
22.7,4.72852E-011
22.8,4.72861E-011
22.9,4.72858E-011
23,4.72857E-011
23.1,4.72863E-011
23.2,4.72861E-011
23.3,4.72867E-011
23.4,4.7287E-011
23.5,4.72866E-011
23.6,4.72874E-011
23.7,4.72869E-011
23.8,4.72865E-011
23.9,4.72869E-011
24,4.72869E-011
24.1,4.72868E-011
24.2,4.72872E-011
24.3,4.72872E-011
24.4,4.72877E-011
24.5,4.72883E-011
24.6,4.72873E-011
24.7,4.72879E-011
24.8,4.72882E-011
24.9,4.72885E-011
25,4.72884E-011
