V,C
-15,5.57074E-11
-14.9,5.5708E-11
-14.8,5.57075E-11
-14.7,5.57072E-11
-14.6,5.57072E-11
-14.5,5.57082E-11
-14.4,5.57081E-11
-14.3,5.57064E-11
-14.2,5.57077E-11
-14.1,5.57076E-11
-14,5.57063E-11
-13.9,5.57066E-11
-13.8,5.57067E-11
-13.7,5.57055E-11
-13.6,5.5706E-11
-13.5,5.57048E-11
-13.4,5.57063E-11
-13.3,5.57066E-11
-13.2,5.57059E-11
-13.1,5.57053E-11
-13,5.57068E-11
-12.9,5.57068E-11
-12.8,5.57058E-11
-12.7,5.57059E-11
-12.6,5.57055E-11
-12.5,5.57065E-11
-12.4,5.57062E-11
-12.3,5.57055E-11
-12.2,5.57048E-11
-12.1,5.57065E-11
-12,5.57054E-11
-11.9,5.57054E-11
-11.8,5.57052E-11
-11.7,5.57048E-11
-11.6,5.57059E-11
-11.5,5.57054E-11
-11.4,5.57041E-11
-11.3,5.57037E-11
-11.2,5.57052E-11
-11.1,5.57054E-11
-11,5.57043E-11
-10.9,5.57051E-11
-10.8,5.57041E-11
-10.7,5.57046E-11
-10.6,5.57051E-11
-10.5,5.57042E-11
-10.4,5.57045E-11
-10.3,5.57035E-11
-10.2,5.57056E-11
-10.1,5.57048E-11
-10,5.5704E-11
-9.9,5.57032E-11
-9.8,5.57036E-11
-9.7,5.57045E-11
-9.6,5.57051E-11
-9.5,5.57029E-11
-9.4,5.57046E-11
-9.3,5.57029E-11
-9.2,5.57044E-11
-9.1,5.57045E-11
-9,5.5704E-11
-8.9,5.57034E-11
-8.8,5.57033E-11
-8.7,5.57042E-11
-8.6,5.57043E-11
-8.5,5.57026E-11
-8.4,5.57044E-11
-8.3,5.57054E-11
-8.2,5.57046E-11
-8.1,5.57035E-11
-8,5.57035E-11
-7.9,5.57036E-11
-7.8,5.5704E-11
-7.7,5.5703E-11
-7.6,5.57039E-11
-7.5,5.57026E-11
-7.4,5.57039E-11
-7.3,5.57031E-11
-7.2,5.57038E-11
-7.1,5.57039E-11
-7,5.57036E-11
-6.9,5.57042E-11
-6.8,5.57039E-11
-6.7,5.57035E-11
-6.6,5.57039E-11
-6.5,5.57035E-11
-6.4,5.5704E-11
-6.3,5.57032E-11
-6.2,5.57043E-11
-6.1,5.57035E-11
-6,5.57042E-11
-5.9,5.57028E-11
-5.8,5.57036E-11
-5.7,5.57031E-11
-5.6,5.57038E-11
-5.5,5.5704E-11
-5.4,5.57043E-11
-5.3,5.57042E-11
-5.2,5.57042E-11
-5.1,5.57041E-11
-5,5.57068E-11
-4.9,5.5707E-11
-4.8,5.57078E-11
-4.7,5.57076E-11
-4.6,5.57081E-11
-4.5,5.57081E-11
-4.4,5.5709E-11
-4.3,5.57086E-11
-4.2,5.571E-11
-4.1,5.57086E-11
-4,5.57093E-11
-3.9,5.57095E-11
-3.8,5.57107E-11
-3.7,5.57102E-11
-3.6,5.57119E-11
-3.5,5.57119E-11
-3.4,5.57144E-11
-3.3,5.57147E-11
-3.2,5.57178E-11
-3.1,5.57176E-11
-3,5.57197E-11
-2.9,5.57227E-11
-2.8,5.57245E-11
-2.7,5.57268E-11
-2.6,5.5732E-11
-2.5,5.5735E-11
-2.4,5.57396E-11
-2.3,5.57446E-11
-2.2,5.57514E-11
-2.1,5.57577E-11
-2,5.57664E-11
-1.9,5.57762E-11
-1.8,5.57861E-11
-1.7,5.57985E-11
-1.6,5.58126E-11
-1.5,5.58282E-11
-1.4,5.58457E-11
-1.3,5.58645E-11
-1.2,5.58872E-11
-1.1,5.59125E-11
-1,5.5941E-11
-0.9,5.59751E-11
-0.8,5.60134E-11
-0.7,5.60584E-11
-0.6,5.61111E-11
-0.5,5.61729E-11
-0.4,5.6246E-11
-0.3,5.63308E-11
-0.2,5.64271E-11
-0.1,5.65378E-11
0,5.66574E-11
0.1,5.67857E-11
0.2,5.69207E-11
0.3,5.70591E-11
0.4,5.71974E-11
0.5,5.73334E-11
0.6,5.74633E-11
0.7,5.75851E-11
0.8,5.77011E-11
0.9,5.78059E-11
1,5.79083E-11
1.1,5.79953E-11
1.2,5.80761E-11
1.3,5.81503E-11
1.4,5.82162E-11
1.5,5.82765E-11
1.6,5.83324E-11
1.7,5.83815E-11
1.8,5.84255E-11
1.9,5.84655E-11
2,5.85034E-11
2.1,5.85352E-11
2.2,5.85662E-11
2.3,5.85946E-11
2.4,5.86201E-11
2.5,5.86427E-11
2.6,5.86654E-11
2.7,5.86852E-11
2.8,5.87032E-11
2.9,5.87199E-11
3,5.87364E-11
3.1,5.87511E-11
3.2,5.87655E-11
3.3,5.87778E-11
3.4,5.87904E-11
3.5,5.88008E-11
3.6,5.88118E-11
3.7,5.88213E-11
3.8,5.883E-11
3.9,5.88393E-11
4,5.88488E-11
4.1,5.88542E-11
4.2,5.88632E-11
4.3,5.88702E-11
4.4,5.88747E-11
4.5,5.88847E-11
4.6,5.88887E-11
4.7,5.88933E-11
4.8,5.89006E-11
4.9,5.89051E-11
5,5.89093E-11
5.1,5.89154E-11
5.2,5.89202E-11
5.3,5.89232E-11
5.4,5.89297E-11
5.5,5.89316E-11
5.6,5.89363E-11
5.7,5.89401E-11
5.8,5.89419E-11
5.9,5.89433E-11
6,5.89485E-11
6.1,5.89521E-11
6.2,5.89549E-11
6.3,5.89581E-11
6.4,5.89592E-11
6.5,5.89637E-11
6.6,5.89646E-11
6.7,5.89659E-11
6.8,5.89687E-11
6.9,5.89718E-11
7,5.89739E-11
7.1,5.89772E-11
7.2,5.89808E-11
7.3,5.89821E-11
7.4,5.89852E-11
7.5,5.8984E-11
7.6,5.89868E-11
7.7,5.89882E-11
7.8,5.89903E-11
7.9,5.89914E-11
8,5.89922E-11
8.1,5.89938E-11
8.2,5.89956E-11
8.3,5.89971E-11
8.4,5.89963E-11
8.5,5.8999E-11
8.6,5.90006E-11
8.7,5.9003E-11
8.8,5.9003E-11
8.9,5.90042E-11
9,5.90055E-11
9.1,5.90067E-11
9.2,5.90085E-11
9.3,5.90091E-11
9.4,5.9009E-11
9.5,5.90119E-11
9.6,5.90117E-11
9.7,5.90124E-11
9.8,5.90147E-11
9.9,5.90161E-11
10,5.90151E-11
10.1,5.90162E-11
10.2,5.90179E-11
10.3,5.90177E-11
10.4,5.90182E-11
10.5,5.90206E-11
10.6,5.90199E-11
10.7,5.90216E-11
10.8,5.90215E-11
10.9,5.90235E-11
11,5.90228E-11
11.1,5.9024E-11
11.2,5.90228E-11
11.3,5.90251E-11
11.4,5.90259E-11
11.5,5.90259E-11
11.6,5.90275E-11
11.7,5.90274E-11
11.8,5.90268E-11
11.9,5.90284E-11
12,5.90275E-11
12.1,5.90291E-11
12.2,5.90312E-11
12.3,5.90311E-11
12.4,5.90318E-11
12.5,5.903E-11
12.6,5.90316E-11
12.7,5.90324E-11
12.8,5.90325E-11
12.9,5.90327E-11
13,5.90333E-11
13.1,5.90337E-11
13.2,5.90348E-11
13.3,5.90347E-11
13.4,5.90343E-11
13.5,5.9035E-11
13.6,5.90339E-11
13.7,5.90336E-11
13.8,5.90393E-11
13.9,5.90398E-11
14,5.90377E-11
14.1,5.9037E-11
14.2,5.90369E-11
14.3,5.90377E-11
14.4,5.90379E-11
14.5,5.90384E-11
14.6,5.90392E-11
14.7,5.90381E-11
14.8,5.904E-11
14.9,5.90392E-11
15,5.90406E-11
15.1,5.90397E-11
15.2,5.90402E-11
15.3,5.90401E-11
15.4,5.90408E-11
15.5,5.90409E-11
15.6,5.90407E-11
15.7,5.90416E-11
15.8,5.90414E-11
15.9,5.90424E-11
16,5.90418E-11
16.1,5.90418E-11
16.2,5.90422E-11
16.3,5.90423E-11
16.4,5.90431E-11
16.5,5.90424E-11
16.6,5.90425E-11
16.7,5.90434E-11
16.8,5.90442E-11
16.9,5.90438E-11
17,5.90438E-11
17.1,5.90417E-11
17.2,5.90441E-11
17.3,5.90438E-11
17.4,5.90437E-11
17.5,5.90445E-11
17.6,5.90449E-11
17.7,5.90443E-11
17.8,5.90466E-11
17.9,5.90432E-11
18,5.90452E-11
18.1,5.9045E-11
18.2,5.90461E-11
18.3,5.90455E-11
18.4,5.90459E-11
18.5,5.90457E-11
18.6,5.90468E-11
18.7,5.90459E-11
18.8,5.90468E-11
18.9,5.90459E-11
19,5.90454E-11
19.1,5.90464E-11
19.2,5.9047E-11
19.3,5.90463E-11
19.4,5.90455E-11
19.5,5.90461E-11
19.6,5.9047E-11
19.7,5.90473E-11
19.8,5.90473E-11
19.9,5.90468E-11
20,5.90468E-11
20.1,5.90484E-11
20.2,5.90473E-11
20.3,5.90474E-11
20.4,5.90468E-11
20.5,5.90475E-11
20.6,5.90484E-11
20.7,5.90474E-11
20.8,5.90485E-11
20.9,5.90482E-11
21,5.90486E-11
21.1,5.90482E-11
21.2,5.9048E-11
21.3,5.90483E-11
21.4,5.90482E-11
21.5,5.90484E-11
21.6,5.90483E-11
21.7,5.90484E-11
21.8,5.90484E-11
21.9,5.90483E-11
22,5.90493E-11
22.1,5.90485E-11
22.2,5.90489E-11
22.3,5.90492E-11
22.4,5.90491E-11
22.5,5.90489E-11
22.6,5.90489E-11
22.7,5.90487E-11
22.8,5.90496E-11
22.9,5.90493E-11
23,5.90491E-11
23.1,5.90498E-11
23.2,5.90494E-11
23.3,5.90499E-11
23.4,5.90497E-11
23.5,5.90497E-11
23.6,5.905E-11
23.7,5.90502E-11
23.8,5.90502E-11
23.9,5.90509E-11
24,5.90506E-11
24.1,5.90511E-11
24.2,5.90506E-11
24.3,5.90512E-11
24.4,5.90515E-11
24.5,5.90501E-11
24.6,5.90516E-11
24.7,5.90507E-11
24.8,5.90516E-11
24.9,5.9051E-11
25,5.90527E-11
