V,C
-15,5.422970E-11
-14.9,5.422980E-11
-14.8,5.423030E-11
-14.7,5.422970E-11
-14.6,5.422980E-11
-14.5,5.422920E-11
-14.4,5.423010E-11
-14.3,5.422980E-11
-14.2,5.422880E-11
-14.1,5.422920E-11
-14,5.422910E-11
-13.9,5.422870E-11
-13.8,5.422910E-11
-13.7,5.422900E-11
-13.6,5.422890E-11
-13.5,5.422810E-11
-13.4,5.422930E-11
-13.3,5.422880E-11
-13.2,5.422890E-11
-13.1,5.422890E-11
-13,5.422880E-11
-12.9,5.422870E-11
-12.8,5.422860E-11
-12.7,5.422870E-11
-12.6,5.422870E-11
-12.5,5.422880E-11
-12.4,5.422880E-11
-12.3,5.422850E-11
-12.2,5.422850E-11
-12.1,5.422780E-11
-12,5.422860E-11
-11.9,5.422830E-11
-11.8,5.422830E-11
-11.7,5.422860E-11
-11.6,5.422830E-11
-11.5,5.422820E-11
-11.4,5.422810E-11
-11.3,5.422770E-11
-11.2,5.422740E-11
-11.1,5.422780E-11
-11,5.422820E-11
-10.9,5.422830E-11
-10.8,5.422780E-11
-10.7,5.422820E-11
-10.6,5.422840E-11
-10.5,5.422780E-11
-10.4,5.422780E-11
-10.3,5.422760E-11
-10.2,5.422740E-11
-10.1,5.422770E-11
-10,5.422770E-11
-9.9,5.422800E-11
-9.8,5.422760E-11
-9.7,5.422820E-11
-9.6,5.422810E-11
-9.5,5.422760E-11
-9.4,5.422830E-11
-9.3,5.422820E-11
-9.2,5.422830E-11
-9.1,5.422800E-11
-9,5.422730E-11
-8.9,5.422790E-11
-8.8,5.422820E-11
-8.7,5.422820E-11
-8.6,5.422790E-11
-8.5,5.422780E-11
-8.4,5.422750E-11
-8.3,5.422780E-11
-8.2,5.422760E-11
-8.1,5.422800E-11
-8,5.422750E-11
-7.9,5.422780E-11
-7.8,5.422760E-11
-7.7,5.422730E-11
-7.6,5.422760E-11
-7.5,5.422740E-11
-7.4,5.422750E-11
-7.3,5.422800E-11
-7.2,5.422800E-11
-7.1,5.422760E-11
