V,C
10.8,5.64492E-11
10.9,5.64503E-11
11,5.64508E-11
11.1,5.6451E-11
11.2,5.64516E-11
11.3,5.64527E-11
11.4,5.64531E-11
11.5,5.64537E-11
11.6,5.64544E-11
11.7,5.64548E-11
11.8,5.64556E-11
11.9,5.64561E-11
12,5.64565E-11
12.1,5.64572E-11
12.2,5.64581E-11
12.3,5.64585E-11
12.4,5.64586E-11
12.5,5.64595E-11
12.6,5.64597E-11
12.7,5.64599E-11
12.8,5.64603E-11
12.9,5.64611E-11
13,5.64615E-11
13.1,5.64619E-11
13.2,5.64626E-11
13.3,5.6463E-11
13.4,5.64636E-11
13.5,5.64639E-11
13.6,5.64641E-11
13.7,5.64639E-11
13.8,5.64646E-11
13.9,5.64655E-11
14,5.64657E-11
14.1,5.64659E-11
14.2,5.64665E-11
14.3,5.64667E-11
14.4,5.64669E-11
14.5,5.64673E-11
14.6,5.64676E-11
14.7,5.64683E-11
14.8,5.64681E-11
14.9,5.64682E-11
15,5.64688E-11
15.1,5.64694E-11
15.2,5.64696E-11
15.3,5.64695E-11
15.4,5.64701E-11
15.5,5.64706E-11
15.6,5.64708E-11
15.7,5.64711E-11
15.8,5.6471E-11
15.9,5.64712E-11
16,5.64717E-11
16.1,5.64722E-11
16.2,5.64722E-11
16.3,5.64722E-11
16.4,5.64723E-11
16.5,5.64726E-11
16.6,5.64732E-11
16.7,5.64729E-11
16.8,5.64737E-11
16.9,5.6474E-11
17,5.64741E-11
17.1,5.64741E-11
17.2,5.64745E-11
17.3,5.64747E-11
17.4,5.64744E-11
17.5,5.64751E-11
17.6,5.64754E-11
17.7,5.64758E-11
17.8,5.64753E-11
17.9,5.64759E-11
18,5.64766E-11
18.1,5.64763E-11
18.2,5.64765E-11
18.3,5.64767E-11
18.4,5.64767E-11
18.5,5.64772E-11
18.6,5.64772E-11
18.7,5.6477E-11
18.8,5.64774E-11
18.9,5.64773E-11
19,5.64778E-11
19.1,5.6478E-11
19.2,5.64783E-11
19.3,5.64782E-11
19.4,5.64785E-11
19.5,5.64786E-11
19.6,5.64786E-11
