V,C
-15,5.93193E-11
-14.9,5.93185E-11
-14.8,5.93126E-11
-14.7,5.93153E-11
-14.6,5.93203E-11
-14.5,5.93115E-11
-14.4,5.93161E-11
-14.3,5.93156E-11
-14.2,5.93109E-11
-14.1,5.93145E-11
-14,5.93154E-11
-13.9,5.93111E-11
-13.8,5.93131E-11
-13.7,5.93141E-11
-13.6,5.93231E-11
-13.5,5.93101E-11
-13.4,5.93061E-11
-13.3,5.93201E-11
-13.2,5.93077E-11
-13.1,5.9308E-11
-13,5.93143E-11
-12.9,5.93104E-11
-12.8,5.93164E-11
-12.7,5.93123E-11
-12.6,5.93023E-11
-12.5,5.93065E-11
-12.4,5.9308E-11
-12.3,5.93125E-11
-12.2,5.93098E-11
-12.1,5.93077E-11
-12,5.93098E-11
-11.9,5.93107E-11
-11.8,5.93072E-11
-11.7,5.93086E-11
-11.6,5.93053E-11
-11.5,5.93047E-11
-11.4,5.93159E-11
-11.3,5.93068E-11
-11.2,5.93074E-11
-11.1,5.93175E-11
-11,5.93097E-11
-10.9,5.93032E-11
-10.8,5.93034E-11
-10.7,5.9309E-11
-10.6,5.93069E-11
-10.5,5.93028E-11
-10.4,5.9311E-11
-10.3,5.93082E-11
-10.2,5.93058E-11
-10.1,5.93097E-11
-10,5.93131E-11
-9.9,5.92967E-11
-9.8,5.9305E-11
-9.7,5.93133E-11
-9.6,5.93007E-11
-9.5,5.9307E-11
-9.4,5.93058E-11
-9.3,5.93062E-11
-9.2,5.93083E-11
-9.1,5.93E-11
-9,5.93068E-11
-8.9,5.93014E-11
-8.8,5.93127E-11
-8.7,5.93063E-11
-8.6,5.93148E-11
-8.5,5.93019E-11
-8.4,5.93075E-11
-8.3,5.93022E-11
-8.2,5.93017E-11
-8.1,5.93037E-11
-8,5.93063E-11
-7.9,5.93027E-11
-7.8,5.93031E-11
-7.7,5.9313E-11
-7.6,5.92996E-11
-7.5,5.93116E-11
-7.4,5.93064E-11
-7.3,5.93001E-11
-7.2,5.9298E-11
-7.1,5.93011E-11
-7,5.92984E-11
-6.9,5.92998E-11
-6.8,5.93028E-11
-6.7,5.9298E-11
-6.6,5.93095E-11
-6.5,5.93054E-11
-6.4,5.92988E-11
-6.3,5.93017E-11
-6.2,5.93007E-11
-6.1,5.92973E-11
-6,5.93031E-11
-5.9,5.93073E-11
-5.8,5.93018E-11
-5.7,5.93028E-11
-5.6,5.93018E-11
-5.5,5.93043E-11
-5.4,5.9306E-11
-5.3,5.9301E-11
-5.2,5.93043E-11
-5.1,5.93047E-11
-5,5.93091E-11
-4.9,5.93158E-11
-4.8,5.93119E-11
-4.7,5.93042E-11
-4.6,5.93071E-11
-4.5,5.93154E-11
-4.4,5.93077E-11
-4.3,5.93204E-11
-4.2,5.93207E-11
-4.1,5.93247E-11
-4,5.93176E-11
-3.9,5.93276E-11
-3.8,5.93187E-11
-3.7,5.93271E-11
-3.6,5.93422E-11
-3.5,5.93309E-11
-3.4,5.93339E-11
-3.3,5.93395E-11
-3.2,5.9342E-11
-3.1,5.93407E-11
-3,5.93567E-11
-2.9,5.9341E-11
-2.8,5.93473E-11
-2.7,5.93611E-11
-2.6,5.9367E-11
-2.5,5.93783E-11
-2.4,5.93775E-11
-2.3,5.93866E-11
-2.2,5.93967E-11
-2.1,5.94102E-11
-2,5.94203E-11
-1.9,5.94254E-11
-1.8,5.94418E-11
-1.7,5.94541E-11
-1.6,5.94764E-11
-1.5,5.94908E-11
-1.4,5.95146E-11
-1.3,5.95389E-11
-1.2,5.95684E-11
-1.1,5.96046E-11
-1,5.96329E-11
-0.9,5.96861E-11
-0.8,5.97332E-11
-0.7,5.97906E-11
-0.6,5.98592E-11
-0.5,5.99395E-11
-0.4,6.00294E-11
-0.3,6.01356E-11
-0.2,6.02534E-11
-0.1,6.03775E-11
0,6.05249E-11
0.1,6.0663E-11
0.2,6.08232E-11
0.3,6.09712E-11
0.4,6.11226E-11
0.5,6.12641E-11
0.6,6.14133E-11
0.7,6.15407E-11
0.8,6.16631E-11
0.9,6.17781E-11
1,6.18711E-11
1.1,6.19599E-11
1.2,6.20536E-11
1.3,6.21361E-11
1.4,6.22038E-11
1.5,6.22677E-11
1.6,6.23262E-11
1.7,6.23768E-11
1.8,6.24126E-11
1.9,6.24667E-11
2,6.25077E-11
2.1,6.25373E-11
2.2,6.25779E-11
2.3,6.25999E-11
2.4,6.26268E-11
2.5,6.26499E-11
2.6,6.26784E-11
2.7,6.26958E-11
2.8,6.2716E-11
2.9,6.27395E-11
3,6.27527E-11
3.1,6.27721E-11
3.2,6.27808E-11
3.3,6.27962E-11
3.4,6.28137E-11
3.5,6.28177E-11
3.6,6.28337E-11
3.7,6.28404E-11
3.8,6.28547E-11
3.9,6.28645E-11
4,6.28777E-11
4.1,6.28748E-11
4.2,6.2888E-11
4.3,6.28925E-11
4.4,6.29033E-11
4.5,6.29088E-11
4.6,6.29138E-11
4.7,6.29223E-11
4.8,6.29209E-11
4.9,6.29311E-11
5,6.29315E-11
5.1,6.29454E-11
5.2,6.29516E-11
5.3,6.29479E-11
5.4,6.29595E-11
5.5,6.29654E-11
5.6,6.29715E-11
5.7,6.29665E-11
5.8,6.29752E-11
5.9,6.29698E-11
6,6.29836E-11
6.1,6.29847E-11
6.2,6.29849E-11
6.3,6.29923E-11
6.4,6.29911E-11
6.5,6.29922E-11
6.6,6.30026E-11
6.7,6.30043E-11
6.8,6.3E-11
6.9,6.30033E-11
7,6.30095E-11
7.1,6.30077E-11
7.2,6.30267E-11
7.3,6.30085E-11
7.4,6.30139E-11
7.5,6.30193E-11
7.6,6.30162E-11
7.7,6.30222E-11
7.8,6.30223E-11
7.9,6.30203E-11
8,6.30397E-11
8.1,6.30234E-11
8.2,6.30373E-11
8.3,6.30298E-11
8.4,6.30258E-11
8.5,6.30269E-11
8.6,6.30388E-11
8.7,6.30384E-11
8.8,6.3029E-11
8.9,6.30369E-11
9,6.30372E-11
9.1,6.3039E-11
9.2,6.30443E-11
9.3,6.30391E-11
9.4,6.30453E-11
9.5,6.30495E-11
9.6,6.30463E-11
9.7,6.30316E-11
9.8,6.30419E-11
9.9,6.3047E-11
10,6.30492E-11
10.1,6.30453E-11
10.2,6.30531E-11
10.3,6.30505E-11
10.4,6.30505E-11
10.5,6.30523E-11
10.6,6.30538E-11
10.7,6.30601E-11
10.8,6.30609E-11
10.9,6.30571E-11
11,6.3059E-11
11.1,6.30707E-11
11.2,6.30624E-11
11.3,6.30581E-11
11.4,6.30626E-11
11.5,6.30607E-11
11.6,6.30575E-11
11.7,6.30564E-11
11.8,6.30656E-11
11.9,6.30587E-11
12,6.30675E-11
12.1,6.30573E-11
12.2,6.30554E-11
12.3,6.30564E-11
12.4,6.30619E-11
12.5,6.3057E-11
12.6,6.30582E-11
12.7,6.30594E-11
12.8,6.30717E-11
12.9,6.30603E-11
13,6.30625E-11
13.1,6.306E-11
13.2,6.30669E-11
13.3,6.3067E-11
13.4,6.30723E-11
13.5,6.30649E-11
13.6,6.30618E-11
13.7,6.30697E-11
13.8,6.30596E-11
13.9,6.30698E-11
14,6.30612E-11
14.1,6.30624E-11
14.2,6.30702E-11
14.3,6.30665E-11
14.4,6.30674E-11
14.5,6.30684E-11
14.6,6.30659E-11
14.7,6.30658E-11
14.8,6.30707E-11
14.9,6.30681E-11
15,6.3066E-11
15.1,6.3062E-11
15.2,6.30669E-11
15.3,6.30664E-11
15.4,6.3069E-11
15.5,6.30656E-11
15.6,6.30716E-11
15.7,6.30694E-11
15.8,6.30703E-11
15.9,6.30677E-11
16,6.30763E-11
16.1,6.30658E-11
16.2,6.30644E-11
16.3,6.30659E-11
16.4,6.30721E-11
16.5,6.30687E-11
16.6,6.30637E-11
16.7,6.30687E-11
16.8,6.30687E-11
16.9,6.30744E-11
17,6.30674E-11
17.1,6.30682E-11
17.2,6.30708E-11
17.3,6.30658E-11
17.4,6.30703E-11
17.5,6.30656E-11
17.6,6.30696E-11
17.7,6.30709E-11
17.8,6.30726E-11
17.9,6.30653E-11
18,6.3074E-11
18.1,6.30647E-11
18.2,6.30581E-11
18.3,6.30638E-11
18.4,6.30708E-11
18.5,6.30709E-11
18.6,6.3077E-11
18.7,6.30699E-11
18.8,6.30663E-11
18.9,6.30706E-11
19,6.30727E-11
19.1,6.30688E-11
19.2,6.30702E-11
19.3,6.3072E-11
19.4,6.30765E-11
19.5,6.30729E-11
19.6,6.30688E-11
19.7,6.3066E-11
19.8,6.30688E-11
19.9,6.30712E-11
20,6.30764E-11
20.1,6.30692E-11
20.2,6.30813E-11
20.3,6.3073E-11
20.4,6.3068E-11
20.5,6.30738E-11
20.6,6.30733E-11
20.7,6.30673E-11
20.8,6.30759E-11
20.9,6.30685E-11
21,6.30678E-11
21.1,6.30733E-11
21.2,6.30737E-11
21.3,6.30671E-11
21.4,6.30675E-11
21.5,6.30722E-11
21.6,6.30689E-11
21.7,6.30714E-11
21.8,6.3071E-11
21.9,6.30689E-11
22,6.30748E-11
22.1,6.30668E-11
22.2,6.30775E-11
22.3,6.30761E-11
22.4,6.30675E-11
22.5,6.30702E-11
22.6,6.30796E-11
22.7,6.30771E-11
22.8,6.3073E-11
22.9,6.30711E-11
23,6.30712E-11
23.1,6.30757E-11
23.2,6.30835E-11
23.3,6.30637E-11
23.4,6.30776E-11
23.5,6.30751E-11
23.6,6.30812E-11
23.7,6.30799E-11
23.8,6.30756E-11
23.9,6.30776E-11
24,6.30835E-11
24.1,6.30827E-11
24.2,6.30752E-11
24.3,6.30873E-11
24.4,6.30815E-11
24.5,6.30825E-11
24.6,6.30865E-11
24.7,6.30823E-11
24.8,6.30764E-11
24.9,6.30824E-11
25,6.30864E-11
